Ativo,Data,Ultimo (R$),Var. Dia (%),Var. Sem. (%),Var. Mes (%),Var. Ano (%),Var. 12M (%),Val. Min,Val. Max,Volume
USIM5,1/26/2024,9.5,5.2,11.76,2.26,,15.97,9.18,9.56,"319,16 M"
CMIN3,1/26/2024,6.82,2.4,2.4,-12.11,-12.11,50.56,6.66,6.86,"32,65 M"
PETR3,1/26/2024,41.96,2.19,7.73,7.64,7.64,77.55,40.81,42.34,"436,69 M"
SUZB3,1/26/2024,52.91,2.04,2.14,-4.89,-4.89,18.85,51.89,53.17,"162,55 M"
CPFE3,1/26/2024,37.1,2.03,2.49,-3.66,,20.7,36.37,37.32,"73,42 M"
PRIO3,1/26/2024,45.69,1.98,2.42,-0.78,-0.78,8.08,44.25,45.69,"319,92 M"
PETR4,1/26/2024,39.96,1.73,6.47,7.3,7.3,95.01,38.91,40.09,"1,64 B"
VALE3,1/26/2024,69.5,1.66,2.06,-9.97,-9.97,-23.49,67.5,69.81,"1,89 B"
MULT3,1/26/2024,28.19,1.58,2.03,-0.81,-0.81,24.02,27.71,28.36,"104,16 M"
ITUB4,1/26/2024,32.81,1.48,-0.39,-3.36,-3.36,34.25,32.35,32.91,"473,2 M"
RDOR3,1/26/2024,27.56,1.43,3.41,-4.17,-4.17,-6.01,26.9,27.91,"71,62 M"
BRKM5,1/26/2024,18.55,1.42,5.1,-15.14,-15.14,-18.39,18.29,18.73,"43,31 M"
AZUL4,1/26/2024,14.27,1.42,8.85,-10.87,-10.87,18.52,13.8,14.36,
RRRP3,1/26/2024,28.75,1.41,-2.71,9.4,9.4,-37.7,28,28.75,"78,44 M"
EQTL3,1/26/2024,35.32,1.34,2.76,-1.12,-1.12,28.01,34.85,35.76,"412,31 M"
CSNA3,1/26/2024,18.16,1.33,4.79,-7.63,-7.63,12.45,18,18.49,"109,86 M"
YDUQ3,1/26/2024,19.77,1.28,-5.9,-11.82,-11.82,108.45,18.99,19.78,"63,48 M"
UGPA3,1/26/2024,28.31,1.28,2.35,6.79,6.79,119.82,27.84,28.39,"104,52 M"
MRVE3,1/26/2024,8.08,1.25,1.38,-28.05,-28.05,14.12,7.93,8.23,"109,48 M"
ARZZ3,1/26/2024,57.91,1.15,-1.03,-10.26,-10.26,-28.97,56.22,59.29,"202,83 M"
BBDC4,1/26/2024,15.52,1.04,-0.77,-9.08,-9.08,16.11,15.35,15.62,"354,3 M"
BEEF3,1/26/2024,7.19,0.98,6.05,-3.75,-3.75,-48.31,7.11,7.24,"42,44 M"
PCAR3,1/26/2024,4.14,0.97,-6.33,1.97,1.97,-51.18,4.08,4.2,"21,18 M"
BRFS3,1/26/2024,14.61,0.96,12.38,5.79,5.79,78.17,14.46,14.93,"101,38 M"
VIVT3,1/26/2024,51.2,0.88,1.09,-4.19,-4.19,32.78,50.62,51.26,"64,92 M"
RAIL3,1/26/2024,22.64,0.84,1.07,-1.35,-1.35,20.93,22.32,22.83,"178,44 M"
,,,,,,,,,,
CIEL3,1/26/2024,4.9,0.82,9.38,5.83,5.83,-2.19,4.82,4.97,"144,47 M"
DXCO3,1/26/2024,7.81,0.77,3.17,-3.22,-3.22,9.94,7.7,7.85,"21,5 M"
TIMS3,1/26/2024,17.52,0.74,-0.57,-2.29,-2.29,56.87,17.36,17.58,"62,54 M"
BRAP4,1/26/2024,23.22,0.73,1.93,-9.51,-9.51,-20.4,22.69,23.28,"69,45 M"
LWSA3,1/26/2024,5.55,0.72,-3.65,-7.65,-7.65,-14.03,5.46,5.6,"56,4 M"
RECV3,1/26/2024,23.83,0.71,1.49,9.71,9.71,-26.61,23.36,23.99,"58,9 M"
ITSA4,1/26/2024,10.01,0.7,-0.3,-3.47,-3.47,29,9.93,10.06,"168,56 M"
BBAS3,1/26/2024,56.97,0.68,1.88,2.85,2.85,52.87,56.55,56.99,"465,62 M"
RADL3,1/26/2024,26.16,0.61,-2.75,-11.02,-11.02,10.07,25.87,26.38,"100,44 M"
GOAU4,1/26/2024,10.08,0.59,3.28,-7.18,-7.18,-21.14,10.03,10.14,"37,01 M"
CSAN3,1/26/2024,18.57,0.59,2.65,-4.08,-4.08,13.35,18.3,18.66,"43,43 M"
JBSS3,1/26/2024,24.34,0.57,2.48,-2.29,-2.29,17.29,24.17,24.56,"40,71 M"
MGLU3,1/26/2024,2.08,0.48,2.46,-3.7,-3.7,-51.4,2.02,2.1,"277,34 M"
BBDC3,1/26/2024,13.75,0.36,-0.72,-9.95,-9.95,15.78,13.67,13.9,"45,86 M"
GGBR4,1/26/2024,21.84,0.27,3.65,-8.08,-8.08,-26.1,21.7,21.94,"109,02 M"
RAIZ4,1/26/2024,3.74,0.26,0,-7.2,-7.2,15.46,3.71,3.78,"19,84 M"
CPLE6,1/26/2024,10.07,0.19,0.9,-2.8,-2.8,32.08,9.96,10.13,"97,05 M"
VAMO3,1/26/2024,8.18,0.12,-3.76,-18.77,-18.77,-40.74,8.11,8.27,"41,64 M"
MRFG3,1/26/2024,9.74,0,5.3,0.41,0.41,17.99,9.61,9.86,"39,65 M"
ABEV3,1/26/2024,13.2,0,-1.12,-3.86,-3.86,0.3,13.15,13.29,"86,92 M"
BBSE3,1/26/2024,33.73,-0.02,-2.37,0.24,0.24,0.91,33.73,34.03,"99,61 M"
SBSP3,1/26/2024,77.04,-0.06,1.37,2.22,2.22,45.92,76.52,77.69,"128,66 M"
TOTS3,1/26/2024,30.88,-0.06,-2.65,-8.34,-8.34,5.89,30.65,31.34,"42,83 M"
CMIG4,1/26/2024,11.64,-0.17,0.95,1.39,1.39,12.26,11.64,11.8,"63,32 M"
ELET6,1/26/2024,46.04,-0.19,-1.41,-2,-2,7.43,45.91,46.42,"19,04 M"
ENEV3,1/26/2024,12.87,-0.23,1.42,-5.44,-5.44,6.36,12.84,13.09,"32,03 M"
WEGE3,1/26/2024,33.17,-0.24,-0.93,-10.13,-10.13,-11.84,33.04,33.5,"127,36 M"
SLCE3,1/26/2024,19.3,-0.25,2.01,2.55,2.55,-10.11,19.1,19.51,"29,74 M"
ALOS3,1/26/2024,24.62,-0.28,0.53,-7.27,-7.27,39.82,24.53,24.92,"34,33 M"
CCRO3,1/26/2024,13.27,-0.3,-1.78,-6.42,-6.42,13.59,13.23,13.41,"32,04 M"
COGN3,1/26/2024,3.03,-0.32,-5.02,-13.18,-13.18,37.73,2.97,3.06,"56,12 M"
TRPL4,1/26/2024,26.12,-0.41,-1.25,-1.43,-1.43,22.81,26.09,26.4,"27,59 M"
EGIE3,1/26/2024,41.04,-0.46,0.56,-9.46,-9.46,13.41,40.92,41.59,"43,45 M"
VBBR3,1/26/2024,23.23,-0.47,2.43,2.07,2.07,50.65,22.97,23.4,"58,22 M"
IRBR3,1/26/2024,40.65,-0.65,5.45,-8.24,-8.24,73.5,40.09,41.4,"74,33 M"
ELET3,1/26/2024,40.86,-0.65,-2.04,-3.7,-3.7,-3.64,40.86,41.44,"109,87 M"
PETZ3,1/26/2024,3.4,-0.87,-4.23,-13.92,-13.92,-46.63,3.35,3.47,"49,03 M"
EZTC3,1/26/2024,15.91,-0.93,-2.39,-14.92,-14.92,8.93,15.85,16.31,"22,15 M"
FLRY3,1/26/2024,16.49,-1.07,1.04,-8.59,-8.59,17.16,16.4,16.71,"37,01 M"
SOMA3,1/26/2024,6.95,-1.27,-0.43,-6.71,-6.71,-30.01,6.87,7.14,"60,82 M"
ALPA4,1/26/2024,8.67,-1.36,4.08,-14.33,-14.33,-34.52,8.62,8.8,14 M
CYRE3,1/26/2024,22.84,-1.38,2.38,-5.15,-5.15,60.09,22.62,23.34,"104,26 M"
EMBR3,1/26/2024,22.4,-1.4,5.02,0.04,0.04,34.29,22.26,22.92,"60,86 M"
NTCO3,1/26/2024,15.97,-1.41,-7.37,-5.45,-5.45,23.51,15.84,16.43,"213,23 M"
ASAI3,1/26/2024,13.8,-1.42,-3.5,2,2,-34.02,13.63,14,"79,67 M"
B3SA3,1/26/2024,13.22,-1.56,-4.13,-8.58,-8.58,3.88,13.18,13.42,"487,27 M"
HYPE3,1/26/2024,31.08,-1.61,-5.27,-13.06,-13.06,-27.52,30.91,31.72,"107,71 M"
SMTO3,1/26/2024,28.2,-1.94,0.36,-3.79,-3.79,17.1,28.13,28.97,"73,55 M"
HAPV3,1/26/2024,3.93,-1.99,-2.24,-11.69,-11.69,-11.49,3.89,4.06,"277,57 M"
LREN3,1/26/2024,15.78,-2.29,-5.62,-9.41,-9.41,-24.94,15.7,16.23,"194,2 M"
CRFB3,1/26/2024,10.71,-2.45,-9.47,-13.98,-13.98,-32.72,10.7,11.08,"38,19 M"
BHIA3,1/26/2024,8.7,-2.46,-6.95,-23.55,-23.55,-85.74,8.67,8.95,"27,54 M"
RENT3,1/26/2024,56.24,-3.63,-6.41,-11.57,-11.57,-2.77,56.04,58.9,"624,74 M"
CVCB3,1/26/2024,3.07,-4.36,-5.54,-12.29,-12.29,-36.83,3.05,3.23,"101,46 M"
